Produto;Ano;Região de Origem;Região de Destino;Unidade;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
Biodiesel B100;2016;CENTRO OESTE;CENTRO OESTE;m³;40831,8;44674,6;52890,49;47355,3;50874,48;52204,25;49888;57865,92;50392,2;59961,32;46310,71;46930,95;600180,01
Biodiesel B100;2016;CENTRO OESTE;NORDESTE;m³;22597,89;14381,75;24727,27;18611,73;23639,6;23310,21;31376,25;33482,53;27308,64;26025,03;35205,91;33317,95;313984,75
Biodiesel B100;2016;CENTRO OESTE;NORTE;m³;6849,36;10854,29;13482,49;10467,84;14126,35;16703,87;14025,45;16887,05;15941,41;12137,99;15609,25;16486,54;163571,87
Biodiesel B100;2016;CENTRO OESTE;SUDESTE;m³;45207,12;58272,71;63047,54;61873,22;52058,42;51664,36;44188,36;43545,25;41603,23;41915,05;30362,49;29131,36;562869,09
Biodiesel B100;2016;CENTRO OESTE;SUL;m³;;440,05;;;;126,25;964,35;1115,33;778,09;1222,09;978,11;837,79;6462,06
Biodiesel B100;2016;NORDESTE;CENTRO OESTE;m³;85,2;230,17;;;;;;;;59,45;;;374,81
Biodiesel B100;2016;NORDESTE;NORDESTE;m³;28032,01;29235,17;19405,61;20826,43;24929,89;28416,61;20403,38;22743,88;30275,91;29725,28;23033,92;23780,36;300808,45
Biodiesel B100;2016;NORDESTE;SUDESTE;m³;87,35;447,6;84,19;126,53;123,76;;53,84;121,8;140,24;1008,3;136,91;140,56;2471,08
Biodiesel B100;2016;NORTE;CENTRO OESTE;m³;;1855,77;3810,07;2412,95;;;;;174,6;;;;8253,38
Biodiesel B100;2016;NORTE;NORDESTE;m³;4528,01;2920,89;7036,26;9689,91;;;;;171,14;470,71;;;24816,93
Biodiesel B100;2016;NORTE;NORTE;m³;345,44;250,46;1893,03;1255,99;;;;;116,61;;;;3861,54
Biodiesel B100;2016;NORTE;SUDESTE;m³;101,86;231,6;111,23;226,5;;;;;;;;;671,19
Biodiesel B100;2016;SUDESTE;CENTRO OESTE;m³;;;;;;;;;;40,72;42,26;127,31;210,28
Biodiesel B100;2016;SUDESTE;NORDESTE;m³;5797,67;4478,21;3620,56;3378,74;4364,83;4494,14;1541,63;1551,34;4126,04;3722,57;6789,66;8111,72;51977,11
Biodiesel B100;2016;SUDESTE;NORTE;m³;;;;;;;;;;;778,75;613,5;1392,25
Biodiesel B100;2016;SUDESTE;SUDESTE;m³;15025,45;18257,93;18244,6;18242,7;17494,99;19706,01;15129,49;15115,23;10497,71;11092,98;21400,35;19413,7;199621,14
Biodiesel B100;2016;SUDESTE;SUL;m³;;406,66;45,39;;;;;;;;;;452,04
Biodiesel B100;2016;SUL;CENTRO OESTE;m³;;;;;;;43,33;;757,53;436,81;;380,14;1617,81
Biodiesel B100;2016;SUL;NORDESTE;m³;57,3;;39,85;;;;;41,06;38,62;69,98;;;246,81
Biodiesel B100;2016;SUL;SUDESTE;m³;43500,19;44734,78;47837,86;56094,31;48892,51;51677,68;63270,48;63049,81;73038,18;62920,66;62013,68;57547,73;674577,84
Biodiesel B100;2016;SUL;SUL;m³;58975,46;65733,35;76301,42;71504,03;74036,44;75792,54;71239,04;75707,7;77774,4;82015,76;70874,89;68562,51;868517,55
Biodiesel B100;2017;CENTRO OESTE;CENTRO OESTE;m³;44997,57;42733,06;59831,07;47063,67;56750,97;60108,63;58913,78;59405,58;57139,78;57659,78;53489,33;47660,51;645753,73
Biodiesel B100;2017;CENTRO OESTE;NORDESTE;m³;32566,56;29617,1;33241,57;39339,1;46040,66;39559,29;39294,59;43433,75;44843,91;46926,84;45481,46;51239,11;491583,94
Biodiesel B100;2017;CENTRO OESTE;NORTE;m³;9491,97;10161,53;16297,17;10387,31;14333,16;17075,8;19469,49;21215,63;20284,92;21482,03;20424,06;17274,59;197897,67
Biodiesel B100;2017;CENTRO OESTE;SUDESTE;m³;25237,24;34379,11;48946,18;52042,26;49219,77;46178,79;51143,16;55437,94;45707,25;41660,02;42049,44;37672,62;529673,76
Biodiesel B100;2017;CENTRO OESTE;SUL;m³;788,32;1282,7;1727,97;1017,9;1726,35;3482,78;1539,8;1560,34;982,83;497,62;1117,59;;15724,2
Biodiesel B100;2017;NORDESTE;NORDESTE;m³;20834,85;17887,31;22022,34;21340,76;21487,05;21000,14;25147,06;28537,57;27720,94;29744,54;28584,58;26171,29;290478,43
Biodiesel B100;2017;NORDESTE;SUDESTE;m³;;;;;;;42,64;430,53;87,36;;671,83;;1232,36
Biodiesel B100;2017;NORTE;CENTRO OESTE;m³;;;;;180,9;172,7;;;;;;;353,59
Biodiesel B100;2017;NORTE;NORDESTE;m³;;;;;;197,66;386,44;;620,07;577,9;302,08;296,96;2381,09
Biodiesel B100;2017;NORTE;NORTE;m³;;;338,71;;;;;44,76;178,23;251,3;686,17;665,82;2164,99
Biodiesel B100;2017;SUDESTE;CENTRO OESTE;m³;;;;;;285,4;33,3;;;85,46;57,22;;461,37
Biodiesel B100;2017;SUDESTE;NORDESTE;m³;6201,2;5674,44;7152,38;6175,15;7309,32;8153,17;5844,71;959,95;;117,99;80,63;83,62;47752,55
Biodiesel B100;2017;SUDESTE;SUDESTE;m³;17851,15;17076,87;12200,48;11904,55;17489,98;17737,72;23890,02;31926,66;37307,08;37836,93;29097,75;28945,64;283264,84
Biodiesel B100;2017;SUDESTE;SUL;m³;;330,47;41,75;;;;44,37;41,94;;43,86;;;502,38
Biodiesel B100;2017;SUL;CENTRO OESTE;m³;;;;;;;;;;372,83;;;372,83
Biodiesel B100;2017;SUL;NORDESTE;m³;;;;43,77;;34,87;;;;;392,74;315,43;786,81
Biodiesel B100;2017;SUL;SUDESTE;m³;48014,94;43287,12;62465,78;59909,06;71279,27;66476,11;60895,85;68200,53;69779,53;68162,81;69702,38;63108,57;751281,93
Biodiesel B100;2017;SUL;SUL;m³;56343,16;60460,78;91680,45;82174,77;85200,74;82063,81;88573,86;90327,37;97717,09;97549,13;87912,2;83599,13;1003602,49
Biodiesel B100;2018;CENTRO OESTE;CENTRO OESTE;m³;43054;55169;66206;63209;57632;70817;75196,04;75029,06;70975,1;76149,11;73180,24;64691;791307,54
Biodiesel B100;2018;CENTRO OESTE;NORDESTE;m³;27658;23967;37021;35374;28430;35058;35538,84;42848,48;44560,06;45980,04;31133,05;32680;420248,47
Biodiesel B100;2018;CENTRO OESTE;NORTE;m³;30337;29852;32655;35944;21614;35882;35306,05;41259,83;38861,38;40349,24;42107,52;47472;431640,01
Biodiesel B100;2018;CENTRO OESTE;SUDESTE;m³;37321;35286;56190;53293;30408;56706;48560,11;43622,62;48494,09;51099,67;55448,57;56159;572588,07
Biodiesel B100;2018;CENTRO OESTE;SUL;m³;84;222;416;1196;;750;193,11;293,13;641,75;98,34;41,33;;3935,66
