Produto;Ano;UF de Origem;UF de Destino;Unidade;JANEIRO;FEVEREIRO;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;Total
Biodiesel B100;2019;BA;AL;m³;1832,45;1569,32;1460,51;1682,44;1023,4;1179,53;1235,68;1342,78;1918,26;2434,02;2227,65;1889,83;19795,86
Biodiesel B100;2019;BA;BA;m³;15807,92;14432,49;11537,12;13274,89;18140,76;17163,36;13431,89;13359,96;15919,62;17596,74;13569,67;13350,35;177584,79
Biodiesel B100;2019;BA;CE;m³;6488,5;5456,75;2611,67;2545,73;5887,25;5921,8;6412,8;6903,88;6212,54;6243,75;7298,88;7189,46;69173,01
Biodiesel B100;2019;BA;ES;m³;;;;;;;;273,35;;;;;273,35
Biodiesel B100;2019;BA;MA;m³;1054,52;1204,54;43,7;;556,14;;;212,48;;;;87,21;3158,59
Biodiesel B100;2019;BA;PB;m³;3353,86;2686,29;3145,38;3208,94;2621,97;2940,86;2988,01;3320,5;3407,61;3808,45;3978,88;3924,82;39385,55
Biodiesel B100;2019;BA;PE;m³;9749,23;9768,83;8507,65;8250,3;7870,01;10611,65;9571,89;9883,28;7552,44;8933,63;9531,83;10194,63;110425,38
Biodiesel B100;2019;BA;RN;m³;3533,36;3385,47;2908,04;3304,85;2164,78;2242,79;2295,9;2992,65;3702,94;4178,75;4069,2;3509,83;38288,55
Biodiesel B100;2019;GO;AL;m³;;;;;;;;;42,79;88,37;42,81;;173,96
Biodiesel B100;2019;GO;BA;m³;6571,26;5680,6;9853,14;10124,43;7585,55;6336,02;12014,47;14002,86;12687,49;12428,04;14137,35;13677,58;125098,79
Biodiesel B100;2019;GO;CE;m³;411,17;390,14;3837,66;3776,11;210,93;186,51;654,8;555,83;863,72;1136,23;822,63;630,03;13475,77
Biodiesel B100;2019;GO;DF;m³;4889,77;4830,32;1343,19;1629,12;3051,49;2749,58;2288,72;2867,96;4028,52;3632,28;4378,83;5065,92;40755,7
Biodiesel B100;2019;GO;ES;m³;2667,38;1608,19;1311,64;1965,77;2118,19;2568,17;1851,33;2166,59;2415,75;2428,16;405,56;348,5;21855,22
Biodiesel B100;2019;GO;GO;m³;17520,22;19222,05;13801,45;13364,81;22156,7;21477,11;22350,99;21863,62;24734,12;26932,2;24882,13;23994,31;252344,2
Biodiesel B100;2019;GO;MA;m³;5443,08;4515,33;2967,15;2545,85;4998,68;5833,33;768,87;2510,61;9498,99;9115;10584,09;6856,05;65637,04
Biodiesel B100;2019;GO;MG;m³;13150,09;14448,24;22232,14;25194,6;21696,98;23159,78;24720,55;27629,48;14660,06;14506,86;13321,51;12352,44;227072,74
Biodiesel B100;2019;GO;PA;m³;2004,98;1438,09;1571,42;1590,75;1691,09;2501,89;1539,45;1577,9;4460,16;5964,34;3133,52;3323,83;30797,44
Biodiesel B100;2019;GO;PB;m³;46,57;131,4;179,08;45,69;45,7;88,02;133,31;;85,93;219,78;44,56;;1020,04
Biodiesel B100;2019;GO;PE;m³;4160,55;2277,1;5336,24;3114,66;1423,61;3237,75;2577,73;4255,81;5859,01;6975,52;5216,69;5103,55;49538,21
Biodiesel B100;2019;GO;PR;m³;44,55;;43,49;;;;;;;;;;88,03
Biodiesel B100;2019;GO;RJ;m³;;862;42,74;;264,86;85,16;448,88;773,28;1483;1441,76;;;5401,66
Biodiesel B100;2019;GO;RN;m³;1056,99;777,54;1270,43;1202,67;1238,93;1234,54;1668,71;1957,93;1501,25;1981,41;836,01;963,85;15690,25
Biodiesel B100;2019;GO;RS;m³;;;;;;;;;;;;84,22;84,22
Biodiesel B100;2019;GO;SP;m³;240,48;183,11;764,81;954,34;689,23;1457,75;2841,62;1122,57;496,89;150,86;;;8857,16
Biodiesel B100;2019;MG;MG;m³;11432,61;11710,05;9815,56;12374,26;10729,69;12103,96;7069,39;8695,51;11275,68;12025,37;12022,76;10598,7;129853,54
Biodiesel B100;2019;MS;BA;m³;;;;;;;;;;;43,21;;43,21
